sex,educ,cause,mx,age,year
Females,Higher,Circulatory,8.230552992451305e-5,46,2020-2021
Females,Higher,Circulatory,9.544860034162675e-5,47,2016-2019
Females,Higher,Circulatory,9.167048496525793e-5,47,2020-2021
Females,Higher,Circulatory,1.0625605492007446e-4,48,2016-2019
Females,Higher,Circulatory,1.0205015107770322e-4,48,2020-2021
Females,Higher,Circulatory,1.1827246747385351e-4,49,2016-2019
Females,Higher,Circulatory,1.135909213184915e-4,49,2020-2021
Females,Higher,Circulatory,1.316805742484022e-4,50,2016-2019
Females,Higher,Circulatory,1.2646829873512816e-4,50,2020-2021
Females,Higher,Circulatory,1.4669999120391615e-4,51,2016-2019
Females,Higher,Circulatory,1.4089320629039295e-4,51,2020-2021
Females,Higher,Circulatory,1.6359537545166766e-4,52,2016-2019
Females,Higher,Circulatory,1.5711982524679795e-4,52,2020-2021
Females,Higher,Circulatory,1.8268662561522002e-4,53,2016-2019
Females,Higher,Circulatory,1.7545539176974315e-4,53,2020-2021
Females,Higher,Circulatory,2.0435980280652838e-4,54,2016-2019
Females,Higher,Circulatory,1.9627068562166078e-4,54,2020-2021
Females,Higher,Circulatory,2.2902356172692918e-4,55,2016-2019
Females,Higher,Circulatory,2.199581858386055e-4,55,2020-2021
Females,Higher,Circulatory,2.570837997043063e-4,56,2016-2019
Females,Higher,Circulatory,2.469077232275251e-4,56,2020-2021
Females,Higher,Circulatory,2.889922318512939e-4,57,2016-2019
Females,Higher,Circulatory,2.775531327874991e-4,57,2020-2021
Females,Higher,Circulatory,3.252532148647852e-4,58,2016-2019
Females,Higher,Circulatory,3.1237880740468893e-4,58,2020-2021
Females,Higher,Circulatory,3.664274950665671e-4,59,2016-2019
Females,Higher,Circulatory,3.5192329753532805e-4,59,2020-2021
Females,Higher,Circulatory,4.1313557479786905e-4,60,2016-2019
Females,Higher,Circulatory,3.967825443492077e-4,60,2020-2021
Females,Higher,Circulatory,4.6606047530032017e-4,61,2016-2019
Females,Higher,Circulatory,4.476125332482889e-4,61,2020-2021
Females,Higher,Circulatory,5.259496273668789e-4,62,2016-2019
Females,Higher,Circulatory,5.05131109680522e-4,62,2020-2021
Females,Higher,Circulatory,5.936159566585411e-4,63,2016-2019
Females,Higher,Circulatory,5.701190214967656e-4,63,2020-2021
Females,Higher,Circulatory,6.701241400879296e-4,64,2016-2019
Females,Higher,Circulatory,6.435988027997947e-4,64,2020-2021
Females,Higher,Circulatory,7.572376249145321e-4,65,2016-2019
Females,Higher,Circulatory,7.272640988071329e-4,65,2020-2021
Females,Higher,Circulatory,8.572827940877272e-4,66,2016-2019
Females,Higher,Circulatory,8.233492078994907e-4,66,2020-2021
Females,Higher,Circulatory,9.732374385249156e-4,67,2016-2019
Females,Higher,Circulatory,9.347140519253425e-4,67,2020-2021
Females,Higher,Circulatory,0.0011089298129097049,68,2016-2019
Females,Higher,Circulatory,0.001065035352828863,68,2020-2021
Females,Higher,Circulatory,0.0012693098208335794,69,2016-2019
Females,Higher,Circulatory,0.0012190670835456271,69,2020-2021
Females,Higher,Circulatory,0.001460822083426142,70,2016-2019
Females,Higher,Circulatory,0.001402998769561117,70,2020-2021
Females,Higher,Circulatory,0.00169192415598219,71,2016-2019
Females,Higher,Circulatory,0.0016249531931133076,71,2020-2021
Females,Higher,Circulatory,0.001973813488447294,72,2016-2019
Females,Higher,Circulatory,0.0018956845786037167,72,2020-2021
Females,Higher,Circulatory,0.0023209576873739267,73,2016-2019
Females,Higher,Circulatory,0.002229087865342139,73,2020-2021
Females,Higher,Circulatory,0.002748933558582202,74,2016-2019
Females,Higher,Circulatory,0.0026401232867801776,74,2020-2021
Females,Higher,Circulatory,0.003275402144966193,75,2016-2019
Females,Higher,Circulatory,0.0031457528136675044,75,2020-2021
Females,Higher,Circulatory,0.003921347199897209,76,2016-2019
Females,Higher,Circulatory,0.003766129605307185,76,2020-2021
Females,Higher,Circulatory,0.004711326065384349,77,2016-2019
Females,Higher,Circulatory,0.004524838957275837,77,2020-2021
Females,Higher,Circulatory,0.005673553327477512,78,2016-2019
Females,Higher,Circulatory,0.005448978645518116,78,2020-2021
Females,Higher,Circulatory,0.006839717267585096,79,2016-2019
Females,Higher,Circulatory,0.006568982643020804,79,2020-2021
Females,Higher,Circulatory,0.008244400927628421,80,2016-2019
Females,Higher,Circulatory,0.007918065100784067,80,2020-2021
